PRIMARY_DIAGNOSIS|SECONDARY_DIAGNOSIS|PRIMARY_DIAGNOSIS_DESC|PRIMARY_BLOCKS_OF_CATEGORIES|SECONDARY_DIAGNOSIS_DESC|SECONDARY_BLOCKS_OF_CATEGORIES|COUNT(DISTINCTCLAIMS_ID)
N20|N30.9|calculus of kidney and ureter|urolithiasis|urinary tract infections |other diseases of urinary system|9
N20.0|N30.9|calculus of kidney|urolithiasis|urinary tract infections |other diseases of urinary system|13
N20.1|N30.9|calculus of ureter|urolithiasis|urinary tract infections |other diseases of urinary system|10
N23|N30.9|unspecified renal colic|urolithiasis|urinary tract infections |other diseases of urinary system|23
N30|N30.9|cystitis|other diseases of urinary system|urinary tract infections |other diseases of urinary system|14
N47|N30.9|redundant prepuce- phimosis and paraphimosis|diseases of male genital organs|urinary tract infections |other diseases of urinary system|16
N51.2|N30.9|balanitis in diseases classified elsewhere|diseases of male genital organs|urinary tract infections |other diseases of urinary system|12
R10|N30.9|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|urinary tract infections |other diseases of urinary system|52
R10.0|N30.9|acute abdomen|symptoms and signs involving the digestive system and abdomen|urinary tract infections |other diseases of urinary system|48
R10.4|N30.9|other and unspecified abdominal pain|symptoms and signs involving the digestive system and abdomen|urinary tract infections |other diseases of urinary system|22
R11|N30.9|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|urinary tract infections |other diseases of urinary system|22
R30.0|N30.9|dysuria|symptoms and signs involving the urinary system|urinary tract infections |other diseases of urinary system|6
R31|N30.9|unspecified haematuria (kencing berdarah)|symptoms and signs involving the urinary system|urinary tract infections |other diseases of urinary system|11
R50.9|N30.9|fever|general symptoms and signs|urinary tract infections |other diseases of urinary system|100
R51|N30.9|headache ( cephalgia)|general symptoms and signs|urinary tract infections |other diseases of urinary system|10
Z24.0|N30.9|need immunization againts poliomyelitis (immunisasi polio)|persons with potential health hazards related to communicable diseases|urinary tract infections |other diseases of urinary system|6
Z34|N30.9|supervision of normal pregnancy|persons encountering health services in circumstances related to reproduction|urinary tract infections |other diseases of urinary system|14
A01.0|N39.0|typhoid fever |intestinal infectious diseases|urinary tract infection- site not specified|other diseases of urinary system|139
A09|N39.0|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|urinary tract infection- site not specified|other diseases of urinary system|134
A15.0|N39.0|tuberculosis of lung|tuberculosis|urinary tract infection- site not specified|other diseases of urinary system|12
A49|N39.0|bacterial infection of unspecified site|other bacterial diseases|urinary tract infection- site not specified|other diseases of urinary system|26
A90|N39.0|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|urinary tract infection- site not specified|other diseases of urinary system|36
A91|N39.0|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|urinary tract infection- site not specified|other diseases of urinary system|47
B34|N39.0|viral infection of unspecified sites|other viral diseases|urinary tract infection- site not specified|other diseases of urinary system|19
B34.9|N39.0|viral infection, unspecified|other viral diseases|urinary tract infection- site not specified|other diseases of urinary system|19
B37|N39.0|candidiasis|mycoses|urinary tract infection- site not specified|other diseases of urinary system|6
B37.3|N39.0|candidiasis of vulva and vagina (fluor albus)|mycoses|urinary tract infection- site not specified|other diseases of urinary system|30
D64|N39.0|other anaemias|aplastic and other anaemias|urinary tract infection- site not specified|other diseases of urinary system|12
D64.9|N39.0|anaemia, unspecified|aplastic and other anaemias|urinary tract infection- site not specified|other diseases of urinary system|18
E11|N39.0|non-insulin-dependent diabetes mellitus|diabetes mellitus|urinary tract infection- site not specified|other diseases of urinary system|7
E13|N39.0|other specified diabetes mellitus|diabetes mellitus|urinary tract infection- site not specified|other diseases of urinary system|35
E78.0|N39.0|pure hypercholesterolemia|metabolic disorders|urinary tract infection- site not specified|other diseases of urinary system|8
E78.4|N39.0|other hyperlipidemia|metabolic disorders|urinary tract infection- site not specified|other diseases of urinary system|8
E78.5|N39.0|hyperlipidaemia|metabolic disorders|urinary tract infection- site not specified|other diseases of urinary system|22
H82|N39.0|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|urinary tract infection- site not specified|other diseases of urinary system|11
I10|N39.0|essential (primary) hypertension|hypertensive diseases|urinary tract infection- site not specified|other diseases of urinary system|12
I15|N39.0|secondary hypertension|hypertensive diseases|urinary tract infection- site not specified|other diseases of urinary system|10
I84|N39.0|haemorrhoids (ambein)|diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|urinary tract infection- site not specified|other diseases of urinary system|6
J00|N39.0|acute nasopharyngitis (common cold)|acute upper respiratory infections|urinary tract infection- site not specified|other diseases of urinary system|24
J02|N39.0|acute pharyngitis|acute upper respiratory infections|urinary tract infection- site not specified|other diseases of urinary system|116
J03|N39.0|acute tonsilitis|acute upper respiratory infections|urinary tract infection- site not specified|other diseases of urinary system|17
J06|N39.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|urinary tract infection- site not specified|other diseases of urinary system|202
J18|N39.0|pneumonia|influenza and pneumonia|urinary tract infection- site not specified|other diseases of urinary system|11
J18.0|N39.0|bronchopneumonia |influenza and pneumonia|urinary tract infection- site not specified|other diseases of urinary system|19
J20|N39.0|acute bronchitis|other acute lower respiratory infections|urinary tract infection- site not specified|other diseases of urinary system|20
J31|N39.0|chronic rhinitis|other diseases of upper respiratory tract|urinary tract infection- site not specified|other diseases of urinary system|8
J40|N39.0|bronchitis|chronic lower respiratory diseases|urinary tract infection- site not specified|other diseases of urinary system|7
J45|N39.0|asthma|chronic lower respiratory diseases|urinary tract infection- site not specified|other diseases of urinary system|7
K21.0|N39.0|gastro-oesophageal reflux disease with oesophagitis|diseases of oesophagus, stomach and duodenum|urinary tract infection- site not specified|other diseases of urinary system|6
K21.9|N39.0|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|urinary tract infection- site not specified|other diseases of urinary system|18
K29|N39.0|gastritis and duodenitis|diseases of oesophagus, stomach and duodenum|urinary tract infection- site not specified|other diseases of urinary system|11
K29.6|N39.0|other gastritis|diseases of oesophagus, stomach and duodenum|urinary tract infection- site not specified|other diseases of urinary system|11
K29.7|N39.0|gastritis|diseases of oesophagus, stomach and duodenum|urinary tract infection- site not specified|other diseases of urinary system|61
K30|N39.0|dyspepsia|diseases of oesophagus, stomach and duodenum|urinary tract infection- site not specified|other diseases of urinary system|158
K35|N39.0|acute appendicitis|diseases of appendix|urinary tract infection- site not specified|other diseases of urinary system|29
K51|N39.0|ulcerative colitis|noninfective enteritis and colitis|urinary tract infection- site not specified|other diseases of urinary system|7
K59.0|N39.0|constipation (susah buang air besar)|other diseases of intestines|urinary tract infection- site not specified|other diseases of urinary system|9
L20|N39.0|atopic dermatitis|dermatitis and eczema|urinary tract infection- site not specified|other diseases of urinary system|9
L30|N39.0|other dermatitis|dermatitis and eczema|urinary tract infection- site not specified|other diseases of urinary system|10
M15.0|N39.0|primary generalised (osteo)arthrosis|arthropathies|urinary tract infection- site not specified|other diseases of urinary system|6
M54.5|N39.0|low back pain (nyeri punggung)|dorsopathies|urinary tract infection- site not specified|other diseases of urinary system|52
M79.1|N39.0|myalgia (nyeri otot|soft tissue disorders|urinary tract infection- site not specified|other diseases of urinary system|15
N20|N39.0|calculus of kidney and ureter|urolithiasis|urinary tract infection- site not specified|other diseases of urinary system|18
N20.0|N39.0|calculus of kidney|urolithiasis|urinary tract infection- site not specified|other diseases of urinary system|11
N20.1|N39.0|calculus of ureter|urolithiasis|urinary tract infection- site not specified|other diseases of urinary system|6
N23|N39.0|unspecified renal colic|urolithiasis|urinary tract infection- site not specified|other diseases of urinary system|50
N30|N39.0|cystitis|other diseases of urinary system|urinary tract infection- site not specified|other diseases of urinary system|25
N40|N39.0|hyperplasia of prostate|diseases of male genital organs|urinary tract infection- site not specified|other diseases of urinary system|7
N47|N39.0|redundant prepuce- phimosis and paraphimosis|diseases of male genital organs|urinary tract infection- site not specified|other diseases of urinary system|41
N51.2|N39.0|balanitis in diseases classified elsewhere|diseases of male genital organs|urinary tract infection- site not specified|other diseases of urinary system|18
N73.9|N39.0|female pelvic inflammatory disease|inflammatory diseases of female pelvic organs|urinary tract infection- site not specified|other diseases of urinary system|6
N83|N39.0|noninflammatory disorders of ovary, fallopian tube and broad ligament|noninflammatory disorders of female genital tract|urinary tract infection- site not specified|other diseases of urinary system|6
O21|N39.0|excessive vomiting in pregnancy/hyperemesis gravidarum|other maternal disorders predominantly related to pregnancy|urinary tract infection- site not specified|other diseases of urinary system|7
R05|N39.0|cough (batuk)|symptoms and signs involving the circulatory and respiratory systems|urinary tract infection- site not specified|other diseases of urinary system|10
R10|N39.0|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|urinary tract infection- site not specified|other diseases of urinary system|53
R10.0|N39.0|acute abdomen|symptoms and signs involving the digestive system and abdomen|urinary tract infection- site not specified|other diseases of urinary system|95
R10.4|N39.0|other and unspecified abdominal pain|symptoms and signs involving the digestive system and abdomen|urinary tract infection- site not specified|other diseases of urinary system|54
R11|N39.0|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|urinary tract infection- site not specified|other diseases of urinary system|22
R30.0|N39.0|dysuria|symptoms and signs involving the urinary system|urinary tract infection- site not specified|other diseases of urinary system|7
R31|N39.0|unspecified haematuria (kencing berdarah)|symptoms and signs involving the urinary system|urinary tract infection- site not specified|other diseases of urinary system|24
R50|N39.0|fever of unknown origin|general symptoms and signs|urinary tract infection- site not specified|other diseases of urinary system|6
R50.9|N39.0|fever|general symptoms and signs|urinary tract infection- site not specified|other diseases of urinary system|212
R51|N39.0|headache ( cephalgia)|general symptoms and signs|urinary tract infection- site not specified|other diseases of urinary system|14
R56.0|N39.0|febrile convulsions|general symptoms and signs|urinary tract infection- site not specified|other diseases of urinary system|10
Z24.0|N39.0|need immunization againts poliomyelitis (immunisasi polio)|persons with potential health hazards related to communicable diseases|urinary tract infection- site not specified|other diseases of urinary system|8
Z30|N39.0|contraceptive management (kontrasepsi)|persons encountering health services in circumstances related to reproduction|urinary tract infection- site not specified|other diseases of urinary system|11
Z34|N39.0|supervision of normal pregnancy|persons encountering health services in circumstances related to reproduction|urinary tract infection- site not specified|other diseases of urinary system|18
A01.0|L50.9|typhoid fever |intestinal infectious diseases|urticaria|urticaria and erythema|10
A09|L50.9|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|urticaria|urticaria and erythema|21
B34|L50.9|viral infection of unspecified sites|other viral diseases|urticaria|urticaria and erythema|6
B34.9|L50.9|viral infection, unspecified|other viral diseases|urticaria|urticaria and erythema|8
E13|L50.9|other specified diabetes mellitus|diabetes mellitus|urticaria|urticaria and erythema|7
I10|L50.9|essential (primary) hypertension|hypertensive diseases|urticaria|urticaria and erythema|9
J00|L50.9|acute nasopharyngitis (common cold)|acute upper respiratory infections|urticaria|urticaria and erythema|23
J02|L50.9|acute pharyngitis|acute upper respiratory infections|urticaria|urticaria and erythema|46
J06|L50.9|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|urticaria|urticaria and erythema|105
J06.9|L50.9|acute upper respiratory infection|acute upper respiratory infections|urticaria|urticaria and erythema|12
J45|L50.9|asthma|chronic lower respiratory diseases|urticaria|urticaria and erythema|6
K30|L50.9|dyspepsia|diseases of oesophagus, stomach and duodenum|urticaria|urticaria and erythema|18
L20|L50.9|atopic dermatitis|dermatitis and eczema|urticaria|urticaria and erythema|11
L23|L50.9|allergic contact dermatitis|dermatitis and eczema|urticaria|urticaria and erythema|13
L30|L50.9|other dermatitis|dermatitis and eczema|urticaria|urticaria and erythema|17
N39.0|L50.9|urinary tract infection- site not specified|other diseases of urinary system|urticaria|urticaria and erythema|6
R50.9|L50.9|fever|general symptoms and signs|urticaria|urticaria and erythema|35
R51|L50.9|headache ( cephalgia)|general symptoms and signs|urticaria|urticaria and erythema|10
T78.4|L50.9|allergy|other and unspecified effects of external causes|urticaria|urticaria and erythema|9
A01.0|L50|typhoid fever |intestinal infectious diseases|urticaria/pruritus (gatal-gatal)|urticaria and erythema|6
A09|L50|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|urticaria/pruritus (gatal-gatal)|urticaria and erythema|38
A90|L50|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|urticaria/pruritus (gatal-gatal)|urticaria and erythema|7
A91|L50|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|urticaria/pruritus (gatal-gatal)|urticaria and erythema|6
B34|L50|viral infection of unspecified sites|other viral diseases|urticaria/pruritus (gatal-gatal)|urticaria and erythema|12
B34.9|L50|viral infection, unspecified|other viral diseases|urticaria/pruritus (gatal-gatal)|urticaria and erythema|16
B35.6|L50|tinea cruris|mycoses|urticaria/pruritus (gatal-gatal)|urticaria and erythema|8
B86|L50|scabies|pediculosis, acariasis and other infestations|urticaria/pruritus (gatal-gatal)|urticaria and erythema|10
E13|L50|other specified diabetes mellitus|diabetes mellitus|urticaria/pruritus (gatal-gatal)|urticaria and erythema|6
I10|L50|essential (primary) hypertension|hypertensive diseases|urticaria/pruritus (gatal-gatal)|urticaria and erythema|8
J00|L50|acute nasopharyngitis (common cold)|acute upper respiratory infections|urticaria/pruritus (gatal-gatal)|urticaria and erythema|45
J02|L50|acute pharyngitis|acute upper respiratory infections|urticaria/pruritus (gatal-gatal)|urticaria and erythema|113
J03|L50|acute tonsilitis|acute upper respiratory infections|urticaria/pruritus (gatal-gatal)|urticaria and erythema|11
J06|L50|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|urticaria/pruritus (gatal-gatal)|urticaria and erythema|224
J06.9|L50|acute upper respiratory infection|acute upper respiratory infections|urticaria/pruritus (gatal-gatal)|urticaria and erythema|6
J20|L50|acute bronchitis|other acute lower respiratory infections|urticaria/pruritus (gatal-gatal)|urticaria and erythema|7
J30.4|L50|allergic rhinitis|other diseases of upper respiratory tract|urticaria/pruritus (gatal-gatal)|urticaria and erythema|12
J31|L50|chronic rhinitis|other diseases of upper respiratory tract|urticaria/pruritus (gatal-gatal)|urticaria and erythema|8
J45|L50|asthma|chronic lower respiratory diseases|urticaria/pruritus (gatal-gatal)|urticaria and erythema|14
K29.7|L50|gastritis|diseases of oesophagus, stomach and duodenum|urticaria/pruritus (gatal-gatal)|urticaria and erythema|10
K30|L50|dyspepsia|diseases of oesophagus, stomach and duodenum|urticaria/pruritus (gatal-gatal)|urticaria and erythema|36
L20|L50|atopic dermatitis|dermatitis and eczema|urticaria/pruritus (gatal-gatal)|urticaria and erythema|32
L21|L50|seborrhoic dermatitis (ketombe)|dermatitis and eczema|urticaria/pruritus (gatal-gatal)|urticaria and erythema|8
L23|L50|allergic contact dermatitis|dermatitis and eczema|urticaria/pruritus (gatal-gatal)|urticaria and erythema|29
L24|L50|irritant contact dermatitis|dermatitis and eczema|urticaria/pruritus (gatal-gatal)|urticaria and erythema|7
L30|L50|other dermatitis|dermatitis and eczema|urticaria/pruritus (gatal-gatal)|urticaria and erythema|32
N39.0|L50|urinary tract infection- site not specified|other diseases of urinary system|urticaria/pruritus (gatal-gatal)|urticaria and erythema|7
R05|L50|cough (batuk)|symptoms and signs involving the circulatory and respiratory systems|urticaria/pruritus (gatal-gatal)|urticaria and erythema|10
R50.9|L50|fever|general symptoms and signs|urticaria/pruritus (gatal-gatal)|urticaria and erythema|72
R51|L50|headache ( cephalgia)|general symptoms and signs|urticaria/pruritus (gatal-gatal)|urticaria and erythema|21
T78.4|L50|allergy|other and unspecified effects of external causes|urticaria/pruritus (gatal-gatal)|urticaria and erythema|9
W57|L50|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|urticaria/pruritus (gatal-gatal)|urticaria and erythema|7
Z24.0|L50|need immunization againts poliomyelitis (immunisasi polio)|persons with potential health hazards related to communicable diseases|urticaria/pruritus (gatal-gatal)|urticaria and erythema|8
B37.3|N77.1|candidiasis of vulva and vagina (fluor albus)|mycoses|vaginitis|inflammatory diseases of female pelvic organs|25
A01.0|B01|typhoid fever |intestinal infectious diseases|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|12
A09|B01|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|11
A90|B01|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|6
B34|B01|viral infection of unspecified sites|other viral diseases|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|6
B34.9|B01|viral infection, unspecified|other viral diseases|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|7
J00|B01|acute nasopharyngitis (common cold)|acute upper respiratory infections|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|12
J02|B01|acute pharyngitis|acute upper respiratory infections|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|41
J03|B01|acute tonsilitis|acute upper respiratory infections|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|6
J06|B01|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|126
K30|B01|dyspepsia|diseases of oesophagus, stomach and duodenum|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|10
L30|B01|other dermatitis|dermatitis and eczema|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|7
R50.9|B01|fever|general symptoms and signs|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|35
A01.0|J30|typhoid fever |intestinal infectious diseases|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|16
A09|J30|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|95
A15.0|J30|tuberculosis of lung|tuberculosis|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|11
A90|J30|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|7
B01|J30|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|6
B34|J30|viral infection of unspecified sites|other viral diseases|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|6
B34.9|J30|viral infection, unspecified|other viral diseases|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|14
E78.5|J30|hyperlipidaemia|metabolic disorders|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|6
H10|J30|conjunctivitis (infeksi conjunctiva)|disorders of conjunctiva|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|21
H10.9|J30|conjunctivitis, unspecified|disorders of conjunctiva|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|6
H60|J30|otitis externa|diseases of external ear|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|45
H60.9|J30|otitis externa|diseases of external ear|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|7
H61.2|J30|impacted cerumen (kotoran di telinga)|diseases of external ear|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|80
H65|J30|nonsuppurative otitis media|diseases of middle ear and mastoid|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|14
H66|J30|suppurative and unspecified otitis media|diseases of middle ear and mastoid|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|13
H66.0|J30|acute suppurative otitis media|diseases of middle ear and mastoid|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|9
H66.9|J30|otitis media|diseases of middle ear and mastoid|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|72
H69|J30|other disorders of eusthacian tube|diseases of middle ear and mastoid|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|11
H69.9|J30|eusthacian tube disorder|diseases of middle ear and mastoid|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|6
H82|J30|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|15
I10|J30|essential (primary) hypertension|hypertensive diseases|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|13
I15|J30|secondary hypertension|hypertensive diseases|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|7
J00|J30|acute nasopharyngitis (common cold)|acute upper respiratory infections|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|61
J01|J30|acute sinusitis|acute upper respiratory infections|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|48
J02|J30|acute pharyngitis|acute upper respiratory infections|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|192
J03|J30|acute tonsilitis|acute upper respiratory infections|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|37
J06|J30|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|128
J06.8|J30|other acute upper respiratory infections of multiple sites|acute upper respiratory infections|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|12
J18.0|J30|bronchopneumonia |influenza and pneumonia|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|9
J20|J30|acute bronchitis|other acute lower respiratory infections|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|49
J30.4|J30|allergic rhinitis|other diseases of upper respiratory tract|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|6
J35.0|J30|chronic tonsilitis|other diseases of upper respiratory tract|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|9
J39.8|J30|other specified diseases of upper respiratory tract|other diseases of upper respiratory tract|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|7
J40|J30|bronchitis|chronic lower respiratory diseases|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|15
J45|J30|asthma|chronic lower respiratory diseases|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|36
J45.9|J30|asthma|chronic lower respiratory diseases|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|7
K12|J30|stomatitis and related lesions|diseases of oral cavity, salivary glands and jaws|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|15
K21.9|J30|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|11
K29.7|J30|gastritis|diseases of oesophagus, stomach and duodenum|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|22
K30|J30|dyspepsia|diseases of oesophagus, stomach and duodenum|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|42
L20|J30|atopic dermatitis|dermatitis and eczema|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|8
L23|J30|allergic contact dermatitis|dermatitis and eczema|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|8
L30|J30|other dermatitis|dermatitis and eczema|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|25
L50.9|J30|urticaria|urticaria and erythema|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|7
M79.1|J30|myalgia (nyeri otot|soft tissue disorders|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|10
N39.0|J30|urinary tract infection- site not specified|other diseases of urinary system|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|6
R04.0|J30|epistaxis (mimisan)|symptoms and signs involving the circulatory and respiratory systems|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|32
R05|J30|cough (batuk)|symptoms and signs involving the circulatory and respiratory systems|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|29
R11|J30|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|19
R50.9|J30|fever|general symptoms and signs|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|117
R51|J30|headache ( cephalgia)|general symptoms and signs|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|36
Z24.0|J30|need immunization againts poliomyelitis (immunisasi polio)|persons with potential health hazards related to communicable diseases|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|32
J02|J30.0|acute pharyngitis|acute upper respiratory infections|vasomotor rhinitis|other diseases of upper respiratory tract|6
A01.0|H82|typhoid fever |intestinal infectious diseases|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|53
A09|H82|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|86
A49|H82|bacterial infection of unspecified site|other bacterial diseases|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|8
A88.1|H82|epidemic vertigo|viral infections of the central nervous system|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|8
A90|H82|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|10
A91|H82|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|20
B34|H82|viral infection of unspecified sites|other viral diseases|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|12
B34.9|H82|viral infection, unspecified|other viral diseases|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|8
D64|H82|other anaemias|aplastic and other anaemias|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|7
D64.9|H82|anaemia, unspecified|aplastic and other anaemias|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|7
E11|H82|non-insulin-dependent diabetes mellitus|diabetes mellitus|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|7
E13|H82|other specified diabetes mellitus|diabetes mellitus|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|30
E78.0|H82|pure hypercholesterolemia|metabolic disorders|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|8
E78.4|H82|other hyperlipidemia|metabolic disorders|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|21
E78.5|H82|hyperlipidaemia|metabolic disorders|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|27
G43|H82|migraine (nyeri kepala sebelah)|episodic and paroxysmal disorders|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|11
G44|H82|other headache syndromes (sindrom sakit kepala)|episodic and paroxysmal disorders|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|11
G44.2|H82|tension type headache|episodic and paroxysmal disorders|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|26
H61.2|H82|impacted cerumen (kotoran di telinga)|diseases of external ear|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|6
H66.9|H82|otitis media|diseases of middle ear and mastoid|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|8
H81.1|H82|benign paroxysmal vertigo|diseases of inner ear|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|9
H93.1|H82|tinnitus (telinga berdengung)|other disorders of ear|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|18
I10|H82|essential (primary) hypertension|hypertensive diseases|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|69
I15|H82|secondary hypertension|hypertensive diseases|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|72
I63|H82|cerebral infarction|cerebrovascular diseases|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|69
I64|H82|stroke not specified as haemorrhage or infarction|cerebrovascular diseases|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|15
I67|H82|other cerebrovascular diseases|cerebrovascular diseases|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|10
J00|H82|acute nasopharyngitis (common cold)|acute upper respiratory infections|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|31
J02|H82|acute pharyngitis|acute upper respiratory infections|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|119
